pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,usable_rate,grits_top_valid_only,grits_con_valid_only,grits_top_zero_pen,grits_con_zero_pen,count
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,latex,0.9918,0.9894,0.9857,0.9989,0.9832,0.9967,0.9608,0.9944,0.9912,0.9554,0.9523,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,latex,0.9934,0.9822,0.9877,1.0,0.9769,0.9884,0.9677,0.9949,0.9859,0.9628,0.954,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,latex,0.9928,0.916,0.9931,0.9937,0.9163,0.9167,0.9605,0.9934,0.9246,0.9542,0.8881,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,html,0.9692,0.9607,0.9993,0.958,0.9897,0.9499,1.0,0.9692,0.9607,0.9692,0.9607,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,html,1.0,0.9888,1.0,1.0,0.9888,0.9888,1.0,1.0,0.9888,1.0,0.9888,148
VLM,Qwen3-VL-8B-Instruct,sqa,html,html,1.0,0.998,1.0,1.0,0.998,0.998,1.0,1.0,0.998,1.0,0.998,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,html,1.0,0.9883,1.0,1.0,0.9883,0.9883,1.0,1.0,0.9883,1.0,0.9883,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,html,0.9933,0.9722,0.9974,0.9905,0.9759,0.9697,1.0,0.9933,0.9722,0.9933,0.9722,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,markdown,0.9893,0.9788,0.9978,0.9856,0.9868,0.9754,1.0,0.9893,0.9788,0.9893,0.9788,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,markdown,1.0,0.9888,1.0,1.0,0.9888,0.9888,1.0,1.0,0.9888,1.0,0.9888,148
VLM,Qwen3-VL-8B-Instruct,sqa,html,markdown,1.0,0.9763,1.0,1.0,0.9763,0.9763,1.0,1.0,0.9763,1.0,0.9763,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,markdown,1.0,0.989,1.0,1.0,0.989,0.989,1.0,1.0,0.989,1.0,0.989,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,markdown,0.999,0.9737,1.0,0.9981,0.9747,0.9728,1.0,0.999,0.9737,0.999,0.9737,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,latex,0.8717,0.819,0.9315,0.8462,0.8635,0.7979,0.7095,0.9729,0.9306,0.6903,0.6602,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,latex,0.9923,0.9784,0.9954,0.9935,0.9784,0.9795,0.9392,0.9929,0.9792,0.9325,0.9196,148
VLM,Qwen3-VL-8B-Instruct,sqa,html,latex,0.9727,0.9677,0.9889,0.9714,0.9679,0.9675,0.9902,0.9724,0.9675,0.9629,0.958,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,latex,0.9853,0.9725,0.9923,0.9847,0.9723,0.9727,0.9516,0.9846,0.9716,0.9369,0.9246,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,latex,0.9937,0.9238,0.9921,0.9987,0.9235,0.9256,0.9211,0.9932,0.9261,0.9148,0.853,76
VLM,Qwen3-VL-8B-Instruct,wikitq,markdown,html,0.9699,0.9476,0.9983,0.9591,0.9747,0.9373,1.0,0.9699,0.9476,0.9699,0.9476,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,markdown,html,0.9982,0.9862,0.9996,0.9971,0.9876,0.9851,1.0,0.9982,0.9862,0.9982,0.9862,148
VLM,Qwen3-VL-8B-Instruct,sqa,markdown,html,0.9998,0.9744,1.0,0.9996,0.9746,0.9743,1.0,0.9998,0.9744,0.9998,0.9744,102
VLM,Qwen3-VL-8B-Instruct,tabfact,markdown,html,0.9996,0.9895,0.9995,0.9998,0.9894,0.9896,1.0,0.9996,0.9895,0.9996,0.9895,124
VLM,Qwen3-VL-8B-Instruct,feverous,markdown,html,0.9926,0.9504,0.9985,0.9882,0.9553,0.9469,1.0,0.9926,0.9504,0.9926,0.9504,76
VLM,Qwen3-VL-8B-Instruct,wikitq,markdown,markdown,0.9891,0.9749,0.9981,0.9849,0.9832,0.9711,1.0,0.9891,0.9749,0.9891,0.9749,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,markdown,markdown,0.9968,0.9794,1.0,0.9941,0.9819,0.9773,1.0,0.9968,0.9794,0.9968,0.9794,148
VLM,Qwen3-VL-8B-Instruct,sqa,markdown,markdown,0.9995,0.9956,1.0,0.9991,0.996,0.9952,1.0,0.9995,0.9956,0.9995,0.9956,102
