pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,Qwen3-VL-8B-Instruct,sqa,html,markdown,1.0,0.9763,1.0,1.0,0.9763,0.9763,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,markdown,1.0,0.989,1.0,1.0,0.989,0.989,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,markdown,0.999,0.9737,1.0,0.9981,0.9747,0.9728,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,latex,0.8717,0.819,0.9315,0.8462,0.8635,0.7979,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,latex,0.9923,0.9784,0.9954,0.9935,0.9784,0.9795,148
VLM,Qwen3-VL-8B-Instruct,sqa,html,latex,0.9727,0.9677,0.9889,0.9714,0.9679,0.9675,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,latex,0.9853,0.9725,0.9923,0.9847,0.9723,0.9727,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,latex,0.9937,0.9238,0.9921,0.9987,0.9235,0.9256,76
VLM,Qwen3-VL-8B-Instruct,wikitq,markdown,html,0.9699,0.9476,0.9983,0.9591,0.9746,0.9373,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,markdown,html,0.9982,0.9862,0.9996,0.9971,0.9876,0.9851,148
VLM,Qwen3-VL-8B-Instruct,sqa,markdown,html,0.9998,0.9744,1.0,0.9996,0.9746,0.9743,102
VLM,Qwen3-VL-8B-Instruct,tabfact,markdown,html,0.9996,0.9895,0.9995,0.9998,0.9894,0.9896,124
VLM,Qwen3-VL-8B-Instruct,feverous,markdown,html,0.9926,0.9504,0.9985,0.9882,0.9553,0.9469,76
VLM,Qwen3-VL-8B-Instruct,wikitq,markdown,markdown,0.9891,0.9749,0.9981,0.9849,0.9832,0.9711,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,markdown,markdown,0.9968,0.9794,1.0,0.9941,0.9819,0.9773,148
VLM,Qwen3-VL-8B-Instruct,sqa,markdown,markdown,0.9995,0.9956,1.0,0.9991,0.996,0.9952,102
VLM,Qwen3-VL-8B-Instruct,tabfact,markdown,markdown,0.9991,0.9933,1.0,0.9984,0.9942,0.9926,124
VLM,Qwen3-VL-8B-Instruct,feverous,markdown,markdown,0.9978,0.9647,1.0,0.9959,0.9661,0.9635,76
VLM,Qwen3-VL-8B-Instruct,wikitq,markdown,latex,0.8955,0.8343,0.9516,0.8668,0.8794,0.8103,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,markdown,latex,0.9975,0.9764,1.0,0.9955,0.9785,0.9746,148
VLM,Qwen3-VL-8B-Instruct,sqa,markdown,latex,0.999,0.9724,0.9995,0.9986,0.9728,0.972,102
VLM,Qwen3-VL-8B-Instruct,tabfact,markdown,latex,0.999,0.989,1.0,0.9982,0.99,0.9882,124
VLM,Qwen3-VL-8B-Instruct,feverous,markdown,latex,0.9955,0.9177,0.9983,0.9932,0.92,0.9157,76
VLM,Qwen3-VL-8B-Instruct,wikitq,latex,html,0.9299,0.8784,0.9471,0.9461,0.8931,0.8872,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,latex,html,0.9973,0.9858,0.9981,0.997,0.9866,0.9853,148
VLM,Qwen3-VL-8B-Instruct,sqa,latex,html,1.0,0.9925,1.0,1.0,0.9925,0.9925,102
VLM,Qwen3-VL-8B-Instruct,tabfact,latex,html,1.0,0.993,1.0,1.0,0.993,0.993,124
VLM,Qwen3-VL-8B-Instruct,feverous,latex,html,0.9893,0.9573,0.9952,0.985,0.9626,0.9534,76
VLM,Qwen3-VL-8B-Instruct,wikitq,latex,markdown,0.9444,0.8969,0.9436,0.9716,0.8974,0.9116,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,latex,markdown,0.9962,0.9793,1.0,0.993,0.9825,0.9767,148
VLM,Qwen3-VL-8B-Instruct,sqa,latex,markdown,1.0,0.9693,1.0,1.0,0.9693,0.9693,102
VLM,Qwen3-VL-8B-Instruct,tabfact,latex,markdown,0.9991,0.9928,1.0,0.9984,0.9937,0.9921,124
VLM,Qwen3-VL-8B-Instruct,feverous,latex,markdown,0.9964,0.9571,1.0,0.9937,0.9601,0.955,76
VLM,Qwen3-VL-8B-Instruct,wikitq,latex,latex,0.89,0.8667,0.9154,0.8765,0.8879,0.8548,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,latex,latex,0.9964,0.982,0.9964,0.997,0.9822,0.9824,148
VLM,Qwen3-VL-8B-Instruct,sqa,latex,latex,0.9993,0.996,0.9998,0.9989,0.9964,0.9955,102
VLM,Qwen3-VL-8B-Instruct,tabfact,latex,latex,0.9999,0.9955,1.0,0.9998,0.9956,0.9954,124
VLM,Qwen3-VL-8B-Instruct,feverous,latex,latex,0.9916,0.9126,0.9958,0.9885,0.9159,0.9101,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,html,html,0.8079,0.6516,0.8206,0.8287,0.6504,0.6685,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,html,html,0.9122,0.7893,0.9182,0.9199,0.7944,0.7918,148
VLM,SmolVLM2-2.2B-Instruct,sqa,html,html,0.9134,0.8192,0.9092,0.9359,0.8173,0.8366,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,html,html,0.9022,0.7857,0.9036,0.9089,0.7878,0.7895,124
VLM,SmolVLM2-2.2B-Instruct,feverous,html,html,0.8267,0.6732,0.8517,0.8347,0.694,0.6753,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,html,markdown,0.7979,0.6483,0.8001,0.8387,0.6509,0.6561,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,html,markdown,0.9544,0.8308,0.9651,0.9691,0.8422,0.8364,148
VLM,SmolVLM2-2.2B-Instruct,sqa,html,markdown,0.9193,0.8054,0.9252,0.924,0.8097,0.8081,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,html,markdown,0.8078,0.7239,0.8848,0.8193,0.7726,0.7301,124
