prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
original,LLM,TableGPT2-7B,html,table_last_cell,430,629,68.4,68.4,68.7
original,LLM,TableGPT2-7B,html,size_detection,195,629,31.0,63.4,63.7
original,LLM,TableGPT2-7B,html,number_of_rows,308,629,49.0,49.0,49.0
original,LLM,TableGPT2-7B,html,number_of_columns,495,629,78.7,78.7,78.7
original,LLM,TableGPT2-7B,html,cell_lookup,85,629,13.5,35.8,35.6
original,LLM,TableGPT2-7B,html,reverse_lookup,81,629,12.9,12.9,13.2
original,LLM,TableGPT2-7B,html,column_retrieval,420,629,66.8,66.8,66.9
original,LLM,TableGPT2-7B,html,row_retrieval,20,629,3.2,6.9,21.5
original,LLM,TableGPT2-7B,html,OVERALL,2757,6290,43.8,53.1,54.9
original,LLM,TableGPT2-7B,markdown,table_partition,31,629,4.9,30.9,33.4
original,LLM,TableGPT2-7B,markdown,table_first_cell,423,629,67.2,67.2,67.2
original,LLM,TableGPT2-7B,markdown,table_last_cell,365,629,58.0,58.0,58.7
original,LLM,TableGPT2-7B,markdown,size_detection,245,629,39.0,62.0,63.6
original,LLM,TableGPT2-7B,markdown,number_of_rows,416,629,66.1,66.1,67.6
original,LLM,TableGPT2-7B,markdown,number_of_columns,239,629,38.0,38.0,51.0
original,LLM,TableGPT2-7B,markdown,cell_lookup,42,629,6.7,25.3,25.6
original,LLM,TableGPT2-7B,markdown,reverse_lookup,58,629,9.2,9.2,9.7
original,LLM,TableGPT2-7B,markdown,column_retrieval,308,629,49.0,49.0,49.3
original,LLM,TableGPT2-7B,markdown,row_retrieval,6,629,1.0,3.3,23.3
original,LLM,TableGPT2-7B,markdown,OVERALL,2133,6290,33.9,40.9,44.9
